City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Busselton,AU,76.08,few clouds,-33.65,115.3333,Observatory Guest House
14,Rikitea,PF,73.63,scattered clouds,-23.1203,-134.9692,People ThankYou
15,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
17,Sur,OM,76.75,clear sky,22.5667,59.5289,Sur Plaza Hotel
18,Rawson,AR,70.77,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
19,Moussoro,TD,77.59,clear sky,13.6408,16.4901,Hôtel Salama
22,Pau Dos Ferros,BR,79.02,scattered clouds,-6.1125,-38.2063,Hertz Center Hotel
28,Sao Mateus,BR,74.28,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
30,Tura,IN,73.76,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
33,San Alberto,CO,72.84,broken clouds,7.7611,-73.3922,Hotel San Alberto Plaza
38,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
50,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
65,Fayaoue,NC,76.66,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
71,Marsh Harbour,BS,74.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
72,Necocli,CO,75.92,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
73,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
80,Santa Marta,CO,78.35,overcast clouds,11.2408,-74.199,Casa de Isabella
87,Kandrian,PG,78.64,light rain,-6.2167,149.55,Kandrian Station
88,Jieshi,CN,77.95,broken clouds,22.8134,115.8257,Yuehai Hotel
104,Mananjary,MG,77.25,clear sky,-21.2167,48.3333,Vahiny Lodge
108,Tevaitoa,PF,79.84,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
112,San Borja,BO,70.95,overcast clouds,-14.8167,-66.85,
114,Zabid,YE,77.5,clear sky,14.1951,43.3152,مغرب التريبه
122,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Forbes,AU,74.91,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
129,Warri,NG,75.76,broken clouds,5.5167,5.75,BON Hotel Delta
133,Praia,CV,77.54,overcast clouds,14.9215,-23.5087,LT Aparthotel
145,Cabo San Lucas,MX,73.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
155,Himatnagar,IN,72.41,scattered clouds,23.6,72.95,Amardeep Sarvajanik Trust
161,Dosso,NE,75.94,clear sky,13.049,3.1937,Hotel Toubal
167,Madaoua,NE,74.21,clear sky,14.073,5.96,
170,Puerto Madryn,AR,71.06,few clouds,-42.7692,-65.0385,Hotel Tolosa
173,Beira,MZ,78.06,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
181,Hermosillo,MX,77.38,scattered clouds,29.0667,-110.9667,ibis Hermosillo
185,Soure,BR,79.97,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
193,Adrar,MR,73.08,overcast clouds,20.5022,-10.0711,
197,Malakal,SS,77.77,clear sky,9.5334,31.6605,Nile Palace Hotel
203,Beloha,MG,75.4,overcast clouds,-25.1667,45.05,
205,Manjeshwar,IN,77.95,overcast clouds,12.7194,74.8861,SOOFINAGAR
