City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,54,4.0,broken clouds
1,Leningradskiy,RU,69.3833,178.4167,-3.62,82,92,4.68,overcast clouds
2,Kapaa,US,22.0752,-159.319,82.38,75,20,1.01,few clouds
3,Barrow,US,71.2906,-156.7887,10.42,79,90,5.75,light snow
4,Cidreira,BR,-30.1811,-50.2056,62.29,72,0,6.71,clear sky
5,Busselton,AU,-33.65,115.3333,76.08,44,15,7.74,few clouds
6,Hobart,AU,-42.8794,147.3294,64.11,69,75,1.01,broken clouds
7,Maniitsoq,GL,65.4167,-52.9,26.83,60,100,21.61,overcast clouds
8,Nikolskoye,RU,59.7035,30.7861,35.49,97,100,9.57,overcast clouds
9,Moreira Sales,BR,-24.0622,-53.0069,65.66,75,0,5.64,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,40.29,scattered clouds
11,Whitehorse,CA,60.7161,-135.0538,-11.9,75,20,2.3,few clouds
12,Saskylakh,RU,71.9167,114.0833,-20.88,96,31,7.25,scattered clouds
13,Buraydah,SA,26.326,43.975,55.85,43,10,10.04,clear sky
14,Rikitea,PF,-23.1203,-134.9692,73.63,67,50,10.22,scattered clouds
15,Bambous Virieux,MU,-20.3428,57.7575,79.21,73,40,13.8,scattered clouds
16,Upernavik,GL,72.7868,-56.1549,6.71,62,54,8.9,broken clouds
17,Sur,OM,22.5667,59.5289,76.75,46,0,6.02,clear sky
18,Rawson,AR,-43.3002,-65.1023,70.77,32,48,10.4,scattered clouds
19,Moussoro,TD,13.6408,16.4901,77.59,20,4,9.89,clear sky
20,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,2.3,light rain
21,Ushuaia,AR,-54.8,-68.3,40.66,65,40,32.21,scattered clouds
22,Pau Dos Ferros,BR,-6.1125,-38.2063,79.02,61,45,9.35,scattered clouds
23,Bethel,US,41.3712,-73.414,40.57,68,1,0.0,clear sky
24,Constitucion,CL,-35.3333,-72.4167,52.0,92,38,1.45,scattered clouds
25,Lovozero,RU,68.005,35.0117,18.45,99,100,2.24,overcast clouds
26,Codrington,AU,-38.2667,141.9667,58.91,50,9,10.13,clear sky
27,Umea,SE,63.8284,20.2597,35.91,80,7,17.27,clear sky
28,Sao Mateus,BR,-18.7161,-39.8589,74.28,90,99,5.88,overcast clouds
29,Trairi,BR,-3.2778,-39.2689,80.47,73,96,13.02,overcast clouds
30,Tura,IN,25.5198,90.2201,73.76,58,14,2.13,few clouds
31,Tukrah,LY,32.5341,20.5791,65.7,68,59,18.97,broken clouds
32,Mola Di Bari,IT,41.0609,17.0873,58.21,89,36,16.58,scattered clouds
33,San Alberto,CO,7.7611,-73.3922,72.84,90,62,4.7,broken clouds
34,Chokurdakh,RU,70.6333,147.9167,-14.39,99,100,3.38,overcast clouds
35,Talnakh,RU,69.4865,88.3972,-14.85,96,58,7.18,broken clouds
36,Saint George,US,37.1041,-113.5841,59.34,38,1,3.44,clear sky
37,Nanortalik,GL,60.1432,-45.2371,32.97,97,100,24.7,snow
38,Atuona,PF,-9.8,-139.0333,78.15,77,4,13.91,clear sky
39,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,20,4.61,few clouds
40,Ucluelet,CA,48.9329,-125.5528,39.09,89,96,5.46,overcast clouds
41,Luderitz,NA,-26.6481,15.1594,56.75,82,5,15.3,clear sky
42,Rio Grande,BR,-32.035,-52.0986,59.95,71,0,10.07,clear sky
43,Laukaa,RU,58.7372,29.8453,35.67,93,100,13.06,overcast clouds
44,Antofagasta,CL,-23.65,-70.4,60.08,75,12,5.48,few clouds
45,Cullman,US,34.1748,-86.8436,43.07,73,1,1.99,clear sky
46,Albany,US,42.6001,-73.9662,34.41,77,0,3.0,clear sky
47,Vaini,TO,-21.2,-175.2,84.36,79,20,9.22,few clouds
48,Cape Town,ZA,-33.9258,18.4232,62.11,65,0,19.57,clear sky
49,Hervey Bay,AU,-25.2986,152.8535,85.03,60,43,9.37,scattered clouds
