City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,hermanus,ZA,2021-11-12 23:54:41,-34.4187,19.2345,62.91,89,60,4.7
1,mataura,NZ,2021-11-12 23:54:42,-46.1927,168.8643,51.12,99,100,4.83
2,alofi,NU,2021-11-12 23:54:42,-19.0595,-169.9187,82.29,74,100,9.22
3,busselton,AU,2021-11-12 23:54:42,-33.65,115.3333,57.09,54,48,14.29
4,vaini,TO,2021-11-12 23:54:42,-21.2,-175.2,82.56,78,75,5.75
5,punta arenas,PH,2021-11-12 23:54:43,8.9897,125.34,81.84,75,97,4.07
6,mandera,KE,2021-11-12 23:54:43,3.9366,41.867,79.97,68,60,17.16
7,naryan-mar,RU,2021-11-12 23:53:05,67.6713,53.087,19.78,82,97,10.71
8,ushuaia,AR,2021-11-12 23:54:43,-54.8,-68.3,51.46,62,40,8.05
9,salalah,OM,2021-11-12 23:51:11,17.0151,54.0924,75.74,64,42,3.71
10,faanui,PF,2021-11-12 23:51:54,-16.4833,-151.75,78.57,68,79,10.74
11,bambous virieux,MU,2021-11-12 23:54:43,-20.2567,57.4061,71.13,80,46,5.55
12,riyadh,SA,2021-11-12 23:51:04,24.6877,46.7219,62.74,25,50,5.84
13,nuuk,GL,2021-11-12 23:54:44,64.1835,-51.7216,2.25,71,0,12.1
14,san cristobal,ML,2021-11-12 23:53:32,13.3034,-4.8956,78.66,16,67,10.36
15,hurghada,EG,2021-11-12 23:54:44,27.2574,33.8129,69.84,64,0,0.0
16,paita,PE,2021-11-12 23:54:44,-5.0892,-81.1144,64.2,82,51,13.91
17,mahebourg,MU,2021-11-12 23:54:44,-20.4081,57.7,72.25,88,20,3.44
18,harare,ZW,2021-11-12 23:54:45,-17.8294,31.0539,63.82,84,72,4.81
19,new norfolk,LR,2021-11-12 23:50:10,6.6518,-10.5932,76.23,97,80,1.3
20,rikitea,PF,2021-11-12 23:54:45,-23.1203,-134.9692,74.28,62,35,6.87
21,kapaa,US,2021-11-12 23:54:45,22.0752,-159.319,83.12,100,62,3.0
22,tasiilaq,GL,2021-11-12 23:54:46,65.6145,-37.6368,15.19,88,100,3.44
23,butaritari,KI,2021-11-12 23:50:26,3.0707,172.7902,83.07,67,72,9.89
24,sailana,IN,2021-11-12 23:54:46,23.4667,74.9167,59.74,47,51,8.41
25,kon tum,CI,2021-11-12 23:54:46,5.2197,-3.3876,81.95,88,100,6.82
26,carnarvon,AU,2021-11-12 23:54:46,-24.8667,113.6333,73.47,56,13,12.66
27,baruun-urt,MN,2021-11-12 23:54:47,46.6806,113.2792,29.07,55,99,4.97
28,biryusinsk,RU,2021-11-12 23:54:47,55.9634,97.8235,24.55,95,100,2.57
29,khatanga,RU,2021-11-12 23:54:47,71.9667,102.5,-22.56,96,95,4.12
30,kruisfontein,ZA,2021-11-12 23:54:47,-34.0033,24.7314,54.88,89,53,5.41
31,nanortalik,GL,2021-11-12 23:54:48,60.1432,-45.2371,25.23,63,100,4.9
32,grindavik,IS,2021-11-12 23:54:48,63.8424,-22.4338,39.67,75,75,16.11
33,hithadhoo,MV,2021-11-12 23:54:48,-0.6,73.0833,81.54,76,40,11.05
34,saskylakh,RU,2021-11-12 23:54:48,71.9167,114.0833,-24.61,97,17,4.85
35,hilo,US,2021-11-12 23:54:49,19.7297,-155.09,80.8,74,83,5.99
36,orange cove,US,2021-11-12 23:52:04,33.7,-117.7675,94.51,55,20,6.91
37,bluff,NZ,2021-11-12 23:54:34,-46.6,168.3333,49.8,92,100,19.17
38,georgetown,MY,2021-11-12 23:50:39,5.4112,100.3354,76.93,94,40,1.01
39,albany,US,2021-11-12 23:54:49,42.6001,-73.9662,46.53,87,43,2.89
40,saldanha,ZA,2021-11-12 23:51:17,-33.0117,17.9442,62.65,93,46,16.49
41,bredasdorp,ZA,2021-11-12 23:50:17,-34.5322,20.0403,61.29,83,64,5.75
42,upernavik,GL,2021-11-12 23:54:49,72.7868,-56.1549,4.44,75,35,7.74
43,tamuin,MX,2021-11-12 23:54:50,21.9833,-98.75,77.02,63,5,4.85
44,jamestown,US,2021-11-12 23:50:58,42.097,-79.2353,48.07,59,40,5.01
45,ust-kut,RU,2021-11-12 23:54:50,56.7938,105.7672,17.1,97,100,3.78
46,souillac,MU,2021-11-12 23:54:50,-20.5167,57.5167,72.36,88,20,3.44
47,lompoc,US,2021-11-12 23:51:28,34.6391,-120.4579,88.11,56,1,10.36
48,mount isa,GB,2021-11-12 23:54:09,53.6597,-1.8537,51.98,68,93,5.01
49,norman wells,US,2021-11-12 23:52:59,35.2226,-97.4395,51.94,31,0,3.0
50,cherskiy,RU,2021-11-12 23:52:03,68.75,161.3,11.46,95,100,5.23
51,guerrero negro,MX,2021-11-12 23:55:51,17.6667,-100.0,65.16,81,24,0.92
52,hasaki,JP,2021-11-12 23:55:51,35.7333,140.8333,52.2,64,34,15.82
53,atambua,ID,2021-11-12 23:55:51,-9.1061,124.8925,82.27,71,99,0.63
54,cidreira,BR,2021-11-12 23:55:51,-30.1811,-50.2056,64.9,65,90,17.36
55,brufut,GM,2021-11-12 23:55:52,13.3814,-16.7518,78.89,83,0,2.3
56,makokou,GA,2021-11-12 23:55:52,0.5738,12.8642,69.44,98,100,1.72
57,dingle,PH,2021-11-12 23:55:52,10.9995,122.6711,80.35,86,84,9.13
58,east london,IS,2021-11-12 23:55:52,65.0,-15.0,24.55,100,100,2.15
